,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C,Schedule F  , Schedule A Deductions 
"$25,000 under $50,000","2,898","9,248","4,787","96,944","2,805","91,942","1,104",734,"2,512","5,634",158,--        ,"1,113"
"$50,000 or more      ",450,"1,471",711,"46,215",425,"29,522",281,"1,546",448,"9,414",50,**        ,296
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90002,"11,716","29,826","15,612","211,624","10,516","190,182","2,347","1,393","6,283","11,082","1,380",**        ,"2,178"
"Under $10,000        ","3,774","7,695","3,892","21,344","3,104","16,492",296,177,"1,087",776,730,--        ,92
"$10,000 under $25,000","5,224","13,795","7,361","85,131","4,810","76,280",934,490,"2,722","2,602",459,--        ,704
"$25,000 under $50,000","2,296","6,956","3,674","77,867","2,199","73,029",860,491,"2,054","4,762",152,**        ,"1,063"
"$50,000 or more      ",422,"1,380",685,"27,282",403,"24,381",257,235,420,"2,942",39,--        ,319
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90003,"15,106","37,420","19,129","264,354","13,576","238,773","2,965","2,187","8,227","14,482","1,934",**        ,"2,468"
"Under $10,000        ","4,846","9,647","4,685","25,426","3,976","21,900",415,275,"1,458",960,983,--        ,104
"$10,000 under $25,000","6,993","17,969","9,403","113,263","6,442","102,394","1,222",624,"3,825","3,746",715,**        ,808
"$25,000 under $50,000","2,819","8,424","4,391","94,167","2,733","89,041","1,044",572,"2,498","5,799",189,--        ,"1,216"
"$50,000 or more      ",448,"1,380",650,"31,498",425,"25,438",284,716,446,"3,977",47,**        ,340
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90004,"22,451","44,948","16,780","885,675","18,465","554,805","7,652","38,474","16,387","146,453","5,160",18,"4,231"
"Under $10,000        ","6,295","9,584","3,245","19,371","4,295","25,398","1,219","1,578","2,977","1,935","2,084",--        ,217
"$10,000 under $25,000","9,013","19,287","7,912","148,051","7,961","126,307","2,119","2,726","6,414","7,983","1,583",--        ,639
"$25,000 under $50,000","4,292","9,490","3,528","147,007","3,910","126,662","1,948","3,743","4,154","13,568",668,**        ,"1,074"
"$50,000 or more      ","2,851","6,587","2,095","571,246","2,299","276,438","2,366","30,427","2,842","122,967",825,*       18,"2,301"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90005,"10,656","21,531","8,210","297,875","8,688","197,556","2,903","11,987","7,288","46,907","2,502",**        ,"1,230"
"Under $10,000        ","3,411","5,503","1,887","5,514","2,372","13,830",525,589,"1,548","1,049","1,119",**        ,56
"$10,000 under $25,000","4,738","10,429","4,388","76,621","4,127","64,525","1,013","1,228","3,292","4,162",834,--        ,222
"$25,000 under $50,000","1,676","3,739","1,359","57,625","1,512","48,829",720,"1,606","1,623","5,597",307,--        ,336
"$50,000 or more      ",831,"1,860",576,"158,115",677,"70,372",645,"8,564",825,"36,099",242,**        ,616
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90006,"16,332","35,969","15,519","262,363","13,885","227,206","3,235","4,111","10,049","17,788","3,279",**        ,"1,058"
"Under $10,000        ","5,703","9,920","3,827","29,120","4,123","23,616",645,490,"2,524","1,671","1,836",**        ,83
"$10,000 under $25,000","7,975","18,988","8,672","126,888","7,281","112,566","1,440","1,315","5,002","5,424","1,148",--        ,348
"$25,000 under $50,000","2,228","6,000","2,632","73,530","2,115","67,189",838,"1,164","2,098","5,676",209,--        ,392
"$50,000 or more      ",426,"1,061",388,"32,825",366,"23,835",312,"1,142",425,"5,017",86,--        ,235
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90007,"11,095","22,873","9,914","201,403","9,822","170,656","2,469","2,868","6,564","17,415","1,504",**        ,"1,485"
"Under $10,000        ","4,066","6,242","2,330","20,666","3,185","17,187",516,277,"1,473",820,778,**        ,292
"$10,000 under $25,000","4,927","11,207","5,194","79,564","4,623","73,010",973,475,"3,107","3,317",504,--        ,454
"$25,000 under $50,000","1,678","4,288","1,924","56,327","1,618","53,073",681,570,"1,562","4,377",150,--        ,462
"$50,000 or more      ",424,"1,136",466,"44,846",396,"27,386",299,"1,546",422,"8,901",72,**        ,277
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90008,"11,812","22,166","8,317","386,374","9,576","292,632","4,773","11,830","8,842","44,062","2,017",**        ,"3,872"
"Under $10,000        ","2,888","4,759","2,026","11,088","2,037","10,895",538,664,"1,049",668,755,**        ,159
"$10,000 under $25,000","3,532","6,721","2,756","59,882","2,928","48,297",984,"1,627","2,512","2,959",430,**        ,520
"$25,000 under $50,000","3,109","5,710","2,045","109,146","2,694","90,261","1,438","2,673","3,012","9,783",346,**        ,"1,253"
"$50,000 or more      ","2,283","4,976","1,490","206,258","1,917","143,179","1,813","6,866","2,269","30,652",486,**        ,"1,940"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90009,827,"1,406",431,"45,387",745,"42,218",433,"1,686",710,"7,699",154,**        ,329
"Under $10,000        ",118,163,41,"-5,171",74,624,41,69,50,31,39,**        ,14
"$10,000 under $25,000",195,347,123,"3,396",175,"3,105",58,96,149,197,36,--        ,25
"$25,000 under $50,000",285,460,144,"10,601",276,"10,260",151,89,283,"1,077",34,--        ,119
"$50,000 or more      ",229,436,123,"36,561",220,"28,229",183,"1,432",228,"6,394",45,**        ,171
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90010,"1,383","2,469",704,"188,749",861,"119,791",720,"9,465","1,134","51,559",540,**        ,579
"Under $10,000        ",357,522,134,"-11,209",152,"1,992",124,630,176,183,147,--        ,47
"$10,000 under $25,000",344,641,213,"5,856",218,"3,703",115,261,289,543,127,--        ,55
"$25,000 under $50,000",233,422,123,"8,430",176,"6,422",117,435,223,994,87,--        ,82
"$50,000 or more      ",449,884,234,"185,672",315,"107,674",364,"8,139",446,"49,839",179,**        ,395
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90011,"22,844","59,020","30,601","377,535","20,862","345,432","4,015","2,245","11,561","17,390","2,809",**        ,"2,791"
"Under $10,000        ","7,286","14,935","7,299","43,464","6,108","35,424",587,341,"2,222","1,396","1,444",**        ,120
"$10,000 under $25,000","11,539","31,101","16,489","184,996","10,849","170,724","1,856",840,"5,774","5,478","1,083",**        ,"1,083"
"$25,000 under $50,000","3,571","11,519","6,106","118,491","3,479","113,295","1,290",650,"3,119","6,879",245,--        ,"1,282"
"$50,000 or more      ",448,"1,465",707,"30,584",426,"25,989",282,414,446,"3,637",37,--        ,306
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90012,"6,426","12,212","3,903","180,398","5,379","135,782","3,436","8,424","4,114","27,743",964,**        ,"1,158"
"Under $10,000        ","2,176","3,659","1,191","4,436","1,687","9,696",856,878,676,387,355,--        ,120
"$10,000 under $25,000","2,313","5,039","1,854","37,281","2,016","31,363","1,213","1,481","1,536","1,922",273,**        ,186
"$25,000 under $50,000","1,099","2,044",583,"38,431",969,"31,756",694,"1,459","1,067","4,038",146,--        ,254
"$50,000 or more      ",838,"1,470",275,"100,250",707,"62,967",673,"4,606",835,"21,396",190,**        ,598
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90013,"1,476","2,285",572,"39,881","1,233","32,616",423,813,945,"6,992",279,--        ,222
"Under $10,000        ",629,796,141,"1,235",483,"2,567",92,126,198,128,117,--        ,18
"$10,000 under $25,000",470,766,236,"7,410",416,"6,288",121,181,374,495,69,--        ,28
"$25,000 under $50,000",201,344,99,"6,984",178,"5,971",84,100,198,809,44,--        ,43
"$50,000 or more      ",176,379,96,"24,252",156,"17,790",126,406,175,"5,560",49,--        ,133
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90014,853,"1,475",466,"34,149",617,"13,714",269,"4,132",617,"9,328",241,**        ,146
"Under $10,000        ",335,463,109,"-9,947",222,"1,524",59,43,163,105,114,--        ,**        
"$10,000 under $25,000",298,543,194,"4,653",234,"3,717",65,62,239,361,68,--        ,*       23
"$25,000 under $50,000",116,217,73,"3,975",87,"2,682",55,148,112,509,30,**        ,38
"$50,000 or more      ",104,252,90,"35,468",74,"5,791",90,"3,879",103,"8,353",29,--        ,85
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90015,"4,162","8,990","3,926","85,667","3,624","72,052",980,"2,827","2,555","9,610",723,**        ,474
"Under $10,000        ","1,429","2,524","1,020","4,520","1,076","6,568",175,763,570,369,402,--        ,23
"$10,000 under $25,000","1,867","4,374","2,042","29,596","1,728","26,832",374,327,"1,164","1,222",202,--        ,84
"$25,000 under $50,000",613,"1,590",719,"20,481",588,"19,050",235,238,570,"1,641",70,--        ,175
"$50,000 or more      ",253,502,145,"31,070",232,"19,602",196,"1,499",251,"6,378",49,**        ,192
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90016,"17,068","35,198","14,519","428,818","14,579","356,813","5,939","8,896","12,119","38,987","2,608",**        ,"4,478"
"Under $10,000        ","4,278","6,934","2,773","22,123","3,269","17,846",682,577,"1,573",937,987,**        ,182
"$10,000 under $25,000","6,482","13,931","6,108","108,728","5,549","90,487","1,721","2,225","4,477","5,066",828,--        ,916
"$25,000 under $50,000","4,511","10,104","4,189","158,350","4,153","139,411","2,148","2,289","4,280","13,039",519,--        ,"1,954"
"$50,000 or more      ","1,797","4,229","1,449","139,617","1,608","109,069","1,388","3,805","1,789","19,945",274,**        ,"1,426"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90017,"4,974","10,204","4,107","271,373","3,844","147,311","1,588","11,488","2,769","60,941",705,**        ,"1,166"
"Under $10,000        ","1,991","3,104","1,011","-1,359","1,156","7,516",562,995,603,384,390,**        ,492
"$10,000 under $25,000","1,940","4,573","2,149","30,786","1,825","28,383",369,415,"1,160","1,235",187,--        ,101
"$25,000 under $50,000",477,"1,226",537,"15,661",438,"13,872",194,427,442,"1,248",42,--        ,88
"$50,000 or more      ",566,"1,301",410,"226,285",425,"97,540",463,"9,651",564,"58,074",86,**        ,485
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90018,"14,986","31,999","14,125","326,895","12,847","275,652","4,223","6,782","10,009","25,944","2,356",**        ,"3,024"
"Under $10,000        ","4,223","7,167","3,020","22,861","3,205","17,371",572,471,"1,588",948,"1,009",**        ,129
"$10,000 under $25,000","6,342","14,150","6,506","104,885","5,573","89,878","1,418","1,350","4,211","4,623",849,--        ,771
"$25,000 under $50,000","3,384","8,096","3,614","116,727","3,133","104,941","1,468","1,610","3,175","9,017",328,**        ,"1,319"
"$50,000 or more      ","1,037","2,586",985,"82,422",936,"63,462",765,"3,351","1,035","11,356",170,**        ,805
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90019,"23,504","45,898","17,315","614,372","19,691","510,471","8,279","12,983","17,226","66,584","4,780",**        ,"5,361"
"Under $10,000        ","6,024","9,126","3,159","21,762","4,277","24,112","1,174","1,281","2,472","1,519","1,674",**        ,247
"$10,000 under $25,000","8,908","18,771","7,837","148,676","7,615","122,498","2,331","2,987","6,407","7,940","1,526",**        ,971
"$25,000 under $50,000","5,689","11,530","4,221","198,454","5,192","173,319","2,595","3,292","5,474","18,489",878,--        ,"1,979"
"$50,000 or more      ","2,883","6,471","2,098","245,480","2,607","190,542","2,179","5,423","2,873","38,636",702,**        ,"2,164"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90020,"13,341","25,995","9,160","454,097","10,986","291,358","4,012","14,173","9,798","75,735","3,040",**        ,"1,709"
"Under $10,000        ","3,994","6,031","1,791","6,613","2,743","15,731",694,540,"1,861","1,166","1,317",--        ,94
"$10,000 under $25,000","5,535","11,454","4,373","91,821","4,839","77,507","1,321","1,411","4,212","5,518","1,032",--        ,312
"$25,000 under $50,000","2,665","5,744","2,019","90,785","2,469","80,374","1,121","1,523","2,588","8,653",410,--        ,526
"$50,000 or more      ","1,147","2,766",977,"264,878",935,"117,746",876,"10,699","1,137","60,398",281,**        ,777
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90021,840,"1,605",613,"78,679",699,"27,531",248,"3,798",561,"23,482",202,**        ,166
"Under $10,000        ",279,407,117,-517,189,"1,142",53,152,103,70,82,--        ,12
"$10,000 under $25,000",299,639,291,"4,782",271,"4,205",51,22,205,280,54,--        ,17
"$25,000 under $50,000",137,275,112,"4,903",127,"4,543",48,110,129,535,28,--        ,35
"$50,000 or more      ",125,284,93,"69,511",112,"17,641",96,"3,514",124,"22,597",38,**        ,102
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90022,"20,738","48,997","22,186","425,798","18,628","382,930","5,578","5,647","13,180","28,022","2,037",**        ,"3,074"
"Under $10,000        ","5,511","9,391","3,799","30,304","4,466","24,663",780,640,"1,787",883,837,--        ,125
"$10,000 under $25,000","9,253","21,981","10,070","154,753","8,440","139,069","2,126","1,901","5,849","6,294",767,**        ,798
"$25,000 under $50,000","4,890","14,182","6,777","166,947","4,713","157,417","1,947","1,532","4,465","11,715",314,**        ,"1,483"
"$50,000 or more      ","1,084","3,443","1,540","73,794","1,009","61,781",725,"1,574","1,079","9,130",119,--        ,668
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90023,"13,586","33,019","15,585","258,208","12,385","236,659","3,085","3,400","8,126","16,398","1,316",**        ,"1,457"
"Under $10,000        ","3,767","6,932","2,986","19,920","3,106","18,269",473,509,"1,185",620,592,--        ,61
"$10,000 under $25,000","6,535","16,175","7,832","107,593","6,100","98,871","1,231",861,"3,902","4,087",509,--        ,428
"$25,000 under $50,000","2,803","8,390","4,088","94,699","2,721","90,332","1,074",815,"2,558","6,476",173,**        ,702
"$50,000 or more      ",481,"1,522",679,"35,996",458,"29,187",307,"1,215",481,"5,215",42,--        ,266
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90024,"15,647","21,908","3,331","1,825,235","11,093","987,280","10,893","182,793","13,380","476,597","3,683",34,"7,664"
"Under $10,000        ","3,311","2,959",274,"-187,962","1,928","20,199","1,594","40,681","1,435","1,564",660,**        ,529
"$10,000 under $25,000","2,704","3,197",352,"45,500","1,988","30,259","1,468","4,368","2,400","3,811",563,**        ,549
"$25,000 under $50,000","3,050","4,012",492,"112,012","2,360","78,806","2,001","7,602","2,987","13,499",623,**        ,"1,057"
"$50,000 or more      ","6,582","11,740","2,213","1,855,685","4,817","858,016","5,830","130,142","6,558","457,723","1,837",*       34,"5,529"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90025,"23,223","33,296","5,711","1,799,864","18,784","1,210,805","14,240","99,511","20,361","424,354","5,593",17,"8,690"
"Under $10,000        ","3,974","4,194",541,"-92,121","2,468","21,762","1,746","13,309","1,797","1,370","1,176",**        ,415
"$10,000 under $25,000","5,316","7,357","1,413","91,877","4,254","69,467","2,494","5,070","4,732","7,483","1,149",--        ,786
"$25,000 under $50,000","6,542","8,869","1,264","237,970","5,788","198,792","3,873","7,967","6,462","29,068","1,266",**        ,"1,909"
"$50,000 or more      ","7,391","12,876","2,493","1,562,138","6,274","920,784","6,127","73,165","7,370","386,433","2,002",*       17,"5,580"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90026,"25,558","49,421","17,984","637,954","22,262","538,656","9,109","13,775","18,295","69,993","4,905",13,"4,697"
"Under $10,000        ","6,995","10,887","3,710","30,317","5,265","29,765","1,468","1,180","2,838","1,632","1,844",**        ,202
"$10,000 under $25,000","10,133","20,973","8,425","167,621","9,165","146,531","2,691","2,747","7,239","8,881","1,474",*       13,838
"$25,000 under $50,000","5,615","11,619","4,113","195,456","5,291","176,310","2,740","3,264","5,406","18,754",863,**        ,"1,610"
"$50,000 or more      ","2,815","5,942","1,736","244,560","2,541","186,050","2,210","6,584","2,812","40,726",724,**        ,"2,047"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90027,"20,593","33,713","8,599","830,535","16,916","578,591","9,563","32,828","16,356","140,857","5,231",16,"5,553"
"Under $10,000        ","5,403","8,023","2,196","11,200","3,885","22,013","1,367","1,878","2,325","1,353","1,632",**        ,278
"$10,000 under $25,000","6,172","10,342","3,012","102,875","5,286","83,675","2,167","3,492","5,103","7,214","1,360",**        ,695
"$25,000 under $50,000","4,894","7,748","1,758","172,812","4,373","144,833","2,613","5,186","4,813","19,377","1,022",--        ,"1,369"
"$50,000 or more      ","4,124","7,600","1,633","543,648","3,372","328,070","3,416","22,272","4,115","112,913","1,217",*       16,"3,211"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90028,"11,350","18,386","5,207","227,503","9,909","198,585","3,335","7,385","8,341","28,688","2,486",**        ,"1,441"
"Under $10,000        ","3,735","5,333","1,386","-1,275","2,894","16,069",682,644,"1,641",866,"1,123",**        ,87
"$10,000 under $25,000","4,524","7,736","2,417","74,912","4,159","66,382","1,182","1,305","3,656","4,853",742,--        ,356
"$25,000 under $50,000","2,351","4,073","1,135","79,445","2,213","71,461",945,"1,585","2,305","8,386",412,--        ,503
"$50,000 or more      ",740,"1,244",269,"74,421",643,"44,673",526,"3,851",739,"14,583",209,--        ,495
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90029,"13,550","27,559","10,771","256,840","11,675","222,224","3,605","5,102","9,239","21,334","2,719",**        ,"1,467"
"Under $10,000        ","4,386","7,342","2,663","21,751","3,222","17,934",651,527,"1,949","1,200","1,382",--        ,77
"$10,000 under $25,000","6,020","12,781","5,277","97,921","5,512","87,172","1,336","1,380","4,234","4,909",914,--        ,375
"$25,000 under $50,000","2,420","5,646","2,194","82,067","2,295","74,659","1,066","1,295","2,332","7,155",290,**        ,547
"$50,000 or more      ",724,"1,790",637,"55,101",646,"42,459",552,"1,900",724,"8,070",133,**        ,468
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90030,186,402,194,"4,770",170,"4,279",55,22,142,436,38,--        ,49
"Under $10,000        ",32,57,25,213,24,164,**        ,**        ,17,18,13,--        ,**        
"$10,000 under $25,000",80,179,90,"1,378",74,"1,180",*       25,*        7,55,62,14,--        ,*       11
"$25,000 under $50,000",56,134,70,"1,990",54,"1,940",20,7,52,171,*       11,--        ,24
"$50,000 or more      ",18,32,9,"1,189",18,995,10,8,18,185,**        ,--        ,14
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90031,"12,296","27,475","11,535","252,281","11,067","222,351","4,420","4,858","7,752","20,402","1,443",**        ,"1,671"
"Under $10,000        ","3,855","7,187","2,915","20,442","3,180","17,669",833,524,"1,200",641,611,**        ,75
"$10,000 under $25,000","5,093","11,619","4,949","84,065","4,698","74,850","1,696","1,555","3,333","3,786",480,**        ,382
"$25,000 under $50,000","2,553","6,602","2,883","87,410","2,449","80,743","1,274","1,333","2,425","7,100",228,--        ,688
"$50,000 or more      ",795,"2,067",788,"60,364",740,"49,089",617,"1,446",794,"8,875",124,--        ,526
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90032,"16,112","34,753","14,114","379,837","14,344","334,836","6,085","7,702","11,282","31,435","1,839",**        ,"3,402"
"Under $10,000        ","4,084","6,360","2,340","18,945","3,319","18,491",853,574,"1,404",680,652,--        ,118
"$10,000 under $25,000","6,317","13,724","5,713","106,399","5,636","91,956","1,973","2,090","4,374","5,094",644,--        ,719
"$25,000 under $50,000","4,140","10,152","4,222","143,950","3,917","131,808","2,080","2,387","3,936","11,825",351,**        ,"1,458"
"$50,000 or more      ","1,571","4,517","1,839","110,543","1,472","92,581","1,179","2,651","1,568","13,836",192,**        ,"1,107"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90033,"12,799","30,609","14,520","231,854","11,477","205,085","2,763","4,073","7,407","15,023","1,428",--        ,"1,060"
"Under $10,000        ","4,037","7,614","3,347","22,445","3,263","17,879",477,358,"1,338",757,784,--        ,50
"$10,000 under $25,000","6,052","15,129","7,438","98,452","5,642","89,950","1,136","1,197","3,549","3,573",440,--        ,288
"$25,000 under $50,000","2,306","6,739","3,261","77,070","2,216","72,548",866,676,"2,117","5,494",154,--        ,496
"$50,000 or more      ",404,"1,127",474,"33,887",356,"24,708",284,"1,842",403,"5,199",50,--        ,226
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90034,"25,067","42,031","11,822","886,532","21,631","709,064","11,411","27,000","20,496","127,471","4,717",**        ,"6,171"
"Under $10,000        ","5,402","6,581","1,622","10,606","3,917","22,460","1,553","1,562","2,322","1,145","1,206",**        ,331
"$10,000 under $25,000","7,561","12,701","3,919","129,362","6,632","109,657","2,486","3,867","6,218","8,641","1,216",--        ,782
"$25,000 under $50,000","7,383","12,599","3,456","261,346","6,878","233,405","3,585","5,345","7,245","28,164","1,121",**        ,"1,803"
"$50,000 or more      ","4,721","10,150","2,825","485,218","4,204","343,542","3,787","16,226","4,711","89,521","1,174",**        ,"3,255"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90035,"13,220","21,377","5,231","724,072","9,912","486,472","8,134","44,537","11,452","135,650","3,464",**        ,"5,211"
"Under $10,000        ","2,540","2,784",562,"-12,500","1,449","8,880","1,179","2,583","1,259",749,758,--        ,237
"$10,000 under $25,000","2,989","4,430","1,046","51,124","2,173","35,014","1,442","4,396","2,604","4,026",710,--        ,492
"$25,000 under $50,000","3,496","5,397","1,238","126,052","2,893","96,640","1,992","6,859","3,414","14,438",741,**        ,"1,180"
"$50,000 or more      ","4,195","8,766","2,385","559,396","3,397","345,938","3,521","30,699","4,175","116,437","1,255",**        ,"3,302"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90036,"17,200","25,333","5,185","900,707","13,541","623,210","9,700","48,886","15,214","167,094","4,855",11,"6,125"
"Under $10,000        ","2,954","3,170",438,"-14,327","1,742","11,559","1,250","2,253","1,449",854,"1,023",**        ,245
"$10,000 under $25,000","4,116","5,506",927,"71,303","3,136","50,708","1,871","4,872","3,757","6,185","1,191",*       11,662
"$25,000 under $50,000","5,027","7,161","1,435","181,210","4,414","147,933","2,621","6,406","4,922","21,648","1,144",--        ,"1,497"
"$50,000 or more      ","5,103","9,496","2,385","662,521","4,249","413,010","3,958","35,355","5,086","138,407","1,497",**        ,"3,721"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90037,"14,393","33,948","16,624","248,392","12,820","222,169","2,915","2,035","8,147","13,728","1,950",**        ,"2,096"
"Under $10,000        ","4,644","8,808","4,085","25,347","3,734","20,694",448,279,"1,560",965,991,--        ,108
"$10,000 under $25,000","6,847","16,939","8,518","111,520","6,315","100,615","1,233",674,"3,930","3,918",718,--        ,764
"$25,000 under $50,000","2,460","6,876","3,404","82,524","2,347","76,381",938,683,"2,216","5,576",186,**        ,905
"$50,000 or more      ",442,"1,325",617,"29,001",424,"24,479",296,399,441,"3,269",55,--        ,319
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90038,"10,457","20,281","7,588","226,019","9,094","187,686","2,864","4,685","7,325","25,375","2,212",**        ,"1,207"
"Under $10,000        ","3,183","5,102","1,771","15,203","2,310","13,237",521,386,"1,450",901,"1,048",**        ,71
"$10,000 under $25,000","4,634","9,633","3,921","75,262","4,285","67,072","1,035","1,032","3,314","3,883",722,--        ,274
"$25,000 under $50,000","2,015","4,336","1,588","68,696","1,932","63,026",848,986,"1,936","6,390",286,--        ,438
"$50,000 or more      ",625,"1,210",308,"66,858",567,"44,351",460,"2,281",625,"14,201",156,**        ,424
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90039,"13,722","24,559","7,459","516,483","11,579","406,254","7,026","15,743","11,248","71,660","2,908",13,"4,598"
"Under $10,000        ","2,650","3,222",788,"6,218","1,832","10,013",796,797,"1,171",614,698,**        ,147
"$10,000 under $25,000","4,205","7,711","2,632","71,403","3,564","57,755","1,548","2,461","3,317","4,429",766,--        ,584
"$25,000 under $50,000","3,732","7,026","2,180","132,650","3,371","113,641","2,099","3,562","3,628","13,304",663,*       13,"1,385"
"$50,000 or more      ","3,135","6,600","1,859","306,212","2,812","224,845","2,583","8,923","3,132","53,313",781,**        ,"2,482"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90040,"3,790","8,566","3,688","106,366","3,368","88,620","1,303","2,859","2,703","11,711",425,**        ,868
"Under $10,000        ",893,"1,340",506,"2,918",717,"4,187",152,110,304,149,135,**        ,27
"$10,000 under $25,000","1,461","3,186","1,368","24,672","1,302","21,317",390,450,"1,028","1,163",148,--        ,169
"$25,000 under $50,000","1,037","2,809","1,278","36,530",981,"33,439",466,327,973,"2,832",93,--        ,370
