,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
"$75,000 under $100,000",711,"1,479",456,"61,337",601,"45,613",531,684,704,"6,209",152,--        ,632
"$100,000 or more     ",828,"1,957",578,"137,720",703,"87,365",709,"2,200",827,"21,363",214,--        ,803
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90009,"1,054","1,887",649,"51,305",916,"42,510",402,530,846,"5,581",209,--        ,440
"Under $10,000        ",141,188,39,238,79,487,39,36,47,34,38,--        ,*         
"$10,000 under $25,000",215,386,149,"3,862",178,"3,410",41,6,148,181,68,--        ,54
"$25,000 under $50,000",346,605,220,"12,732",327,"12,242",114,56,305,921,52,--        ,134
"$50,000 under $75,000",189,349,125,"11,527",184,"11,021",85,25,185,"1,162",37,--        ,121
"$75,000 under $100,000",66,144,53,"5,811",61,"5,182",43,23,64,716,*         ,--        ,55
"$100,000 or more     ",97,215,63,"17,135",87,"10,168",80,384,97,"2,567",14,--        ,76
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90010,"1,659","3,035",855,"278,465",998,"106,209",803,"10,231","1,268","57,450",566,*         ,747
"Under $10,000        ",441,617,111,"-14,707",160,"3,135",141,292,161,222,145,--        ,33
"$10,000 under $25,000",310,554,156,"5,395",190,"3,335",95,260,252,445,131,--        ,65
"$25,000 under $50,000",293,547,183,"10,594",210,"7,794",105,493,260,"1,050",105,--        ,122
"$50,000 under $75,000",178,338,104,"10,972",119,"6,639",99,245,165,"1,338",56,--        ,121
"$75,000 under $100,000",94,215,73,"8,168",71,"5,330",63,255,89,832,25,--        ,78
"$100,000 or more     ",343,764,228,"258,043",248,"79,976",300,"8,686",341,"53,563",104,*         ,328
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90011,"28,159","77,863","41,570","576,879","25,007","519,405","3,747",977,"12,583","21,465","4,478",--        ,"3,893"
"Under $10,000        ","6,371","12,957","5,776","34,415","4,716","27,556",391,120,"2,276","1,548","1,730",--        ,139
"$10,000 under $25,000","13,952","38,980","21,544","233,798","12,691","207,914","1,318",344,"5,417","5,724","2,023",--        ,"1,160"
"$25,000 under $50,000","6,563","21,497","11,907","221,092","6,376","209,670","1,465",267,"3,734","7,071",588,--        ,"1,847"
"$50,000 under $75,000","1,024","3,570","1,909","59,775",999,"55,715",422,148,911,"3,592",100,--        ,565
"$75,000 under $100,000",169,598,310,"14,340",157,"12,116",94,63,165,"1,220",17,--        ,122
"$100,000 or more     ",80,261,124,"13,459",68,"6,434",57,35,80,"2,310",20,--        ,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90012,"7,202","13,705","4,220","244,697","5,928","181,844","2,554","3,834","4,515","32,497","1,188",*         ,"1,452"
"Under $10,000        ","1,992","3,054",677,959,"1,344","7,826",431,386,615,336,398,--        ,99
"$10,000 under $25,000","2,470","5,511","2,096","40,544","2,139","34,047",670,546,"1,369","1,459",338,--        ,191
"$25,000 under $50,000","1,453","2,808",912,"51,053","1,319","44,691",603,669,"1,255","3,800",189,--        ,323
"$50,000 under $75,000",601,"1,065",277,"36,632",546,"31,644",343,444,591,"4,207",90,--        ,288
"$75,000 under $100,000",278,507,117,"24,004",250,"19,924",180,287,277,"3,282",59,--        ,193
"$100,000 or more     ",408,760,141,"91,505",330,"43,712",327,"1,502",408,"19,413",114,*         ,358
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90013,"1,901","2,709",591,"95,060","1,561","43,963",445,933,"1,268","19,144",359,--        ,418
"Under $10,000        ",609,736,102,"2,006",457,"2,283",62,30,150,76,108,--        ,16
"$10,000 under $25,000",587,903,256,"9,635",511,"8,248",85,108,447,526,111,--        ,33
"$25,000 under $50,000",379,545,124,"13,843",346,"12,413",98,141,345,"1,233",77,--        ,138
"$50,000 under $75,000",124,174,28,"7,532",118,"6,627",57,33,124,"1,021",46,--        ,58
"$75,000 under $100,000",65,113,22,"5,626",60,"4,689",25,46,65,819,*         ,--        ,44
"$100,000 or more     ",137,238,59,"56,418",69,"9,703",118,575,137,"15,469",17,--        ,129
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90014,"1,350","2,283",689,"56,344","1,035","31,463",270,"1,111",960,"9,531",349,--        ,266
"Under $10,000        ",387,527,104,491,212,"1,519",44,44,165,116,148,--        ,*         
"$10,000 under $25,000",460,830,301,"7,771",393,"6,318",48,17,331,455,87,--        ,40
"$25,000 under $50,000",272,498,175,"9,602",240,"8,256",61,43,236,839,57,--        ,68
"$50,000 under $75,000",92,154,32,"5,568",83,"4,705",36,25,90,707,22,--        ,40
"$75,000 under $100,000",66,110,25,"5,610",51,"3,656",24,11,66,876,18,--        ,48
"$100,000 or more     ",73,164,52,"27,302",56,"7,009",57,971,72,"6,538",17,--        ,70
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90015,"4,945","10,907","4,770","131,773","4,141","103,944",831,"1,078","2,900","13,305","1,034",--        ,638
"Under $10,000        ","1,320","2,188",734,"4,448",857,"5,192",131,123,569,392,457,--        ,23
"$10,000 under $25,000","2,119","5,018","2,435","35,360","1,893","30,913",206,118,"1,097","1,189",329,--        ,100
"$25,000 under $50,000","1,068","2,708","1,260","36,577",995,"33,414",246,85,812,"2,109",162,--        ,210
"$50,000 under $75,000",216,541,225,"12,873",201,"11,178",95,87,202,"1,208",34,--        ,113
"$75,000 under $100,000",83,174,48,"7,077",73,"5,609",50,102,81,833,14,--        ,64
"$100,000 or more     ",139,278,68,"35,438",122,"17,638",103,563,139,"7,574",38,--        ,128
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90016,"18,730","39,862","16,736","554,226","15,666","460,814","5,156","4,079","12,154","39,310","3,478",--        ,"5,409"
"Under $10,000        ","3,634","5,655","1,719","16,970","2,403","14,227",483,343,"1,403",913,"1,066",--        ,179
"$10,000 under $25,000","6,666","14,503","6,620","113,779","5,551","91,689","1,146",686,"3,711","3,953","1,251",--        ,848
"$25,000 under $50,000","5,537","12,822","5,737","195,204","5,069","172,160","1,749",915,"4,246","10,360",704,--        ,"2,152"
"$50,000 under $75,000","1,821","4,176","1,680","109,831","1,675","94,494","1,000",800,"1,730","9,428",270,--        ,"1,294"
"$75,000 under $100,000",624,"1,565",597,"53,275",572,"44,622",435,360,617,"5,309",92,--        ,522
"$100,000 or more     ",448,"1,141",383,"65,167",396,"43,622",343,975,447,"9,347",95,--        ,414
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90017,"5,298","11,537","5,021","248,860","4,431","135,852",998,"5,240","2,988","41,923",995,*         ,731
"Under $10,000        ","1,484","2,480",869,"-3,551",974,"5,869",172,68,535,344,417,--        ,15
"$10,000 under $25,000","2,230","5,418","2,680","36,855","2,033","32,958",218,135,"1,130","1,177",340,--        ,89
"$25,000 under $50,000",960,"2,414","1,109","32,430",910,"29,973",217,253,706,"1,908",117,--        ,157
"$50,000 under $75,000",210,415,139,"12,597",194,"11,071",88,91,204,"1,418",29,--        ,102
"$75,000 under $100,000",99,161,37,"8,540",89,"7,029",50,97,98,"1,258",16,--        ,76
"$100,000 or more     ",315,649,187,"161,989",231,"48,952",253,"4,596",315,"35,818",76,*         ,292
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90018,"17,750","38,889","17,198","457,190","14,770","386,846","3,753","2,987","11,010","29,082","3,694",*         ,"4,002"
"Under $10,000        ","4,044","6,566","2,222","19,897","2,629","14,992",401,237,"1,724","1,185","1,391",--        ,138
"$10,000 under $25,000","6,949","15,651","7,448","117,984","5,874","97,559",941,396,"3,809","4,228","1,399",--        ,765
"$25,000 under $50,000","4,811","11,690","5,456","168,216","4,480","152,860","1,263",841,"3,600","8,171",562,--        ,"1,663"
"$50,000 under $75,000","1,254","3,185","1,380","75,451","1,159","65,506",645,591,"1,190","6,069",176,*         ,825
"$75,000 under $100,000",402,"1,075",447,"34,104",379,"28,860",271,321,397,"3,412",83,--        ,345
"$100,000 or more     ",290,722,245,"41,538",249,"27,069",232,601,290,"6,017",83,--        ,266
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90019,"25,238","49,942","18,536","831,719","20,414","674,992","7,279","6,743","17,685","82,783","6,046",*         ,"6,667"
"Under $10,000        ","5,451","8,151","2,141","13,670","3,254","19,087",904,584,"2,334","1,612","1,898",--        ,231
"$10,000 under $25,000","8,378","17,312","7,203","143,309","6,919","114,246","1,424",872,"5,256","6,229","1,875",--        ,862
"$25,000 under $50,000","6,847","14,600","5,922","241,867","6,144","209,345","2,134","1,598","5,609","15,794","1,189",*         ,"2,248"
"$50,000 under $75,000","2,389","4,982","1,738","144,646","2,152","121,628","1,214","1,052","2,326","14,443",471,--        ,"1,429"
"$75,000 under $100,000",981,"2,154",696,"83,832",883,"67,597",649,709,970,"9,700",223,--        ,791
"$100,000 or more     ","1,192","2,743",836,"204,395","1,062","143,089",954,"1,928","1,190","35,005",390,*         ,"1,106"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90020,"14,195","28,110","9,731","637,522","11,529","413,866","3,366","10,413","10,017","90,452","3,551",*         ,"2,349"
"Under $10,000        ","3,435","4,982","1,080","7,383","2,023","12,492",422,494,"1,604","1,031","1,326",--        ,75
"$10,000 under $25,000","5,165","10,485","3,985","88,331","4,402","72,941",774,493,"3,471","4,183","1,173",--        ,367
"$25,000 under $50,000","3,682","8,026","3,016","128,457","3,449","116,023",998,738,"3,054","8,665",623,--        ,740
"$50,000 under $75,000","1,024","2,358",835,"62,037",946,"53,819",495,560,"1,004","6,049",178,--        ,434
"$75,000 under $100,000",345,810,271,"29,517",304,"23,392",204,392,341,"3,577",83,--        ,222
"$100,000 or more     ",544,"1,449",544,"321,797",405,"135,199",473,"7,736",543,"66,947",168,*         ,511
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90021,"1,042","1,899",683,"62,317",854,"31,897",237,991,690,"10,777",286,*         ,238
"Under $10,000        ",317,460,121,922,205,"1,653",41,19,119,74,106,--        ,*         
"$10,000 under $25,000",325,656,286,"5,463",284,"4,588",29,15,210,262,75,--        ,24
"$25,000 under $50,000",222,438,169,"7,838",203,"6,938",57,9,183,624,47,--        ,70
"$50,000 under $75,000",60,114,40,"3,663",55,"3,126",28,10,60,448,19,--        ,35
"$75,000 under $100,000",36,54,11,"3,129",33,"2,590",23,9,36,422,13,--        ,32
"$100,000 or more     ",82,177,56,"41,302",74,"13,002",59,929,82,"8,947",26,*         ,77
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90022,"22,590","56,818","27,043","581,549","20,023","515,862","4,571","2,380","12,763","30,669","2,992",--        ,"4,059"
"Under $10,000        ","4,436","7,550","2,570","24,344","3,292","18,907",472,248,"1,524",859,928,--        ,102
"$10,000 under $25,000","9,206","22,645","11,141","158,232","8,136","135,639","1,286",688,"4,536","4,614","1,253",--        ,748
"$25,000 under $50,000","6,662","19,091","9,626","232,355","6,416","218,625","1,666",679,"4,572","9,928",580,--        ,"1,840"
"$50,000 under $75,000","1,741","5,720","2,852","103,841","1,682","95,870",802,309,"1,593","7,088",165,--        ,973
"$75,000 under $100,000",385,"1,341",661,"32,448",361,"28,429",219,162,378,"2,910",38,--        ,267
"$100,000 or more     ",160,471,193,"30,329",136,"18,392",126,294,160,"5,270",28,--        ,129
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90023,"14,503","37,955","18,932","349,804","12,977","311,560","2,323","1,244","7,640","17,317","1,854",--        ,"2,003"
"Under $10,000        ","2,853","5,176","1,949","15,200","2,098","12,370",254,104,971,549,656,--        ,52
"$10,000 under $25,000","6,457","16,482","8,410","110,556","5,839","97,956",669,248,"3,019","3,005",802,--        ,433
"$25,000 under $50,000","4,124","12,654","6,719","142,698","4,014","136,330",881,208,"2,676","5,718",307,--        ,933
"$50,000 under $75,000",823,"2,834","1,475","48,802",803,"45,768",369,193,730,"3,148",61,--        ,411
"$75,000 under $100,000",174,594,292,"14,697",165,"13,246",98,48,172,"1,388",18,--        ,118
"$100,000 or more     ",72,215,87,"17,851",58,"5,890",52,443,72,"3,509",10,--        ,56
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90024,"15,274","23,335","3,973","2,349,909","10,684","1,197,427","9,504","134,607","12,361","577,865","3,704",24,"7,833"
"Under $10,000        ","3,223","3,716",240,"-197,493","1,774","20,489","1,393","16,393","1,110","1,423",676,*         ,320
"$10,000 under $25,000","2,358","2,874",270,"40,158","1,701","27,482","1,037","2,429","1,833","2,487",524,--        ,602
"$25,000 under $50,000","2,703","3,649",522,"99,227","2,070","70,621","1,436","4,792","2,521","9,246",585,--        ,"1,030"
"$50,000 under $75,000","1,885","2,753",463,"116,704","1,437","79,356","1,213","4,999","1,826","14,282",404,*         ,"1,185"
"$75,000 under $100,000","1,101","1,824",309,"94,947",842,"62,936",863,"3,902","1,089","12,381",252,--        ,892
"$100,000 or more     ","4,004","8,519","2,169","2,196,366","2,860","936,543","3,562","102,092","3,982","538,046","1,263",24,"3,804"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90025,"23,675","36,462","7,253","2,732,054","18,999","1,696,957","12,690","118,009","19,735","571,951","5,792",10,"9,997"
"Under $10,000        ","3,941","4,777",480,"-85,160","2,133","18,346","1,440","3,438","1,439","1,319","1,158",--        ,329
"$10,000 under $25,000","4,515","6,554","1,420","77,461","3,520","57,290","1,641","2,595","3,493","4,596","1,088",--        ,797
"$25,000 under $50,000","5,876","8,364","1,550","216,718","5,146","181,119","2,645","4,278","5,542","21,055","1,222",--        ,"1,759"
"$50,000 under $75,000","3,472","5,177",935,"212,698","3,060","175,736","2,123","4,642","3,415","26,802",675,10,"1,903"
"$75,000 under $100,000","1,804","3,066",637,"155,829","1,589","123,373","1,299","3,090","1,789","21,209",438,--        ,"1,406"
"$100,000 or more     ","4,067","8,524","2,231","2,154,508","3,551","1,141,093","3,542","99,966","4,057","496,970","1,211",*         ,"3,803"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90026,"27,661","53,789","19,411","884,256","23,510","734,930","7,776","7,554","19,210","86,983","6,282",*         ,"6,464"
"Under $10,000        ","6,032","8,772","2,136","22,923","3,867","23,317","1,026",713,"2,587","1,669","2,093",*         ,197
"$10,000 under $25,000","9,520","19,642","8,159","161,986","8,315","136,321","1,571","1,103","5,910","6,618","1,876",--        ,898
"$25,000 under $50,000","7,525","15,902","6,255","263,530","7,090","239,771","2,253","1,710","6,197","17,674","1,217",*         ,"2,083"
"$50,000 under $75,000","2,462","5,093","1,675","148,721","2,299","130,340","1,317",934,"2,401","15,137",483,--        ,"1,438"
"$75,000 under $100,000",986,"2,012",574,"84,878",916,"72,158",684,860,982,"10,321",245,--        ,796
"$100,000 or more     ","1,136","2,368",612,"202,218","1,023","133,023",925,"2,234","1,133","35,564",368,*         ,"1,052"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90027,"21,961","35,743","8,552","1,097,314","17,999","773,159","8,253","19,789","17,347","169,726","6,219",*         ,"6,760"
"Under $10,000        ","4,807","6,512","1,097","9,883","3,025","18,801","1,062",991,"1,991","1,185","1,763",*         ,204
"$10,000 under $25,000","5,795","9,656","2,719","98,577","4,922","78,418","1,360","1,505","4,474","5,262","1,585",--        ,727
"$25,000 under $50,000","5,644","9,204","2,350","202,970","5,156","174,930","1,973","2,228","5,230","17,454","1,287",*         ,"1,589"
"$50,000 under $75,000","2,456","4,057",917,"148,934","2,196","122,438","1,319","2,132","2,409","17,628",593,--        ,"1,346"
"$75,000 under $100,000","1,188","2,083",459,"102,269","1,046","80,369",792,"1,347","1,177","13,662",337,*         ,945
"$100,000 or more     ","2,071","4,231","1,010","534,681","1,654","298,203","1,747","11,586","2,066","114,535",654,*         ,"1,949"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90028,"12,877","20,308","5,280","354,395","11,212","300,956","2,662","3,381","9,548","38,319","3,261",--        ,"2,260"
"Under $10,000        ","3,209","4,177",693,"9,089","2,200","13,013",459,267,"1,351",711,"1,173",--        ,73
"$10,000 under $25,000","4,631","7,676","2,354","79,194","4,226","69,502",668,508,"3,488","4,034","1,054",--        ,423
"$25,000 under $50,000","3,505","5,847","1,622","122,267","3,360","112,972",827,590,"3,190","10,153",662,--        ,824
"$50,000 under $75,000",957,"1,611",390,"57,616",918,"52,213",365,243,945,"7,019",224,--        ,467
"$75,000 under $100,000",305,522,115,"25,914",276,"21,218",158,382,304,"3,650",73,--        ,236
"$100,000 or more     ",270,475,106,"60,315",232,"32,038",185,"1,391",270,"12,752",75,--        ,237
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90029,"14,876","30,114","11,524","362,057","12,426","311,782","2,967","2,456","9,989","26,794","3,651",--        ,"2,301"
"Under $10,000        ","3,790","5,646","1,425","13,601","2,327","13,792",423,281,"1,822","1,190","1,541",--        ,86
"$10,000 under $25,000","5,861","12,404","5,313","99,282","5,161","84,546",752,486,"3,692","4,073","1,230",--        ,423
"$25,000 under $50,000","3,811","8,672","3,533","131,843","3,631","121,487","1,000",677,"3,092","8,088",600,--        ,885
"$50,000 under $75,000",891,"2,108",797,"53,863",839,"48,024",428,304,864,"4,998",166,--        ,473
"$75,000 under $100,000",285,687,247,"24,377",263,"20,434",184,288,281,"2,755",56,--        ,219
"$100,000 or more     ",238,597,209,"39,091",205,"23,499",180,420,238,"5,690",58,--        ,215
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90030,122,274,132,"3,769",107,"3,514",25,3,82,254,19,--        ,44
"Under $10,000        ",26,41,14,137,20,156,12,0,*         ,*              ,*         ,--        ,*         
"$10,000 under $25,000",32,73,39,523,23,353,*         ,*              ,30,32,19,--        ,*         
"$25,000 under $50,000",37,88,45,"1,323",37,"1,284",*         ,*              ,26,71,*         ,--        ,22
"$50,000 under $75,000",27,72,34,"1,786",27,"1,721",13,3,26,151,*         ,--        ,22
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90031,"13,617","31,085","13,220","349,100","12,023","302,488","3,350","2,252","7,864","23,794","1,999",--        ,"2,224"
"Under $10,000        ","3,248","5,429","1,651","16,561","2,440","13,941",468,199,"1,063",616,689,--        ,69
"$10,000 under $25,000","5,376","12,750","5,769","90,112","4,816","78,242",937,422,"2,771","2,835",718,--        ,376
"$25,000 under $50,000","3,514","9,055","4,228","122,231","3,359","113,200","1,042",607,"2,600","6,371",374,--        ,865
"$50,000 under $75,000",970,"2,540","1,103","58,080",937,"53,244",506,375,922,"5,140",120,--        ,510
"$75,000 under $100,000",287,748,282,"24,570",281,"22,151",214,135,287,"2,638",56,--        ,221
"$100,000 or more     ",222,563,187,"37,546",190,"21,710",183,514,221,"6,194",42,--        ,183
