,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C, Schedule F  , Schedule A 
"$25,000 under $50,000","3,832","12,035","6,216","130,568","3,711","124,086","1,174",613,"2,842","5,973",269,--        ,"1,397"
"$50,000 or more      ",693,"2,409","1,182","53,395",665,"41,715",382,"1,671",672,"6,678",58,--        ,466
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90002,"13,183","33,785","17,046","266,814","11,869","239,740","2,338","1,517","5,547","10,472","1,681",**        ,"2,625"
"Under $10,000        ","3,281","6,390","2,972","19,024","2,660","14,927",225,141,385,71,672,--        ,74
"$10,000 under $25,000","6,215","16,235","8,337","103,349","5,652","91,237",821,474,"2,249","1,823",723,**        ,756
"$25,000 under $50,000","3,101","9,209","4,783","105,783","2,991","99,084",956,594,"2,338","5,000",235,--        ,"1,357"
"$50,000 or more      ",586,"1,951",954,"38,658",566,"34,492",336,308,575,"3,578",51,**        ,438
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90003,"17,371","43,296","21,372","331,962","15,531","305,228","2,971","2,200","7,179","14,644","2,477",**        ,"3,158"
"Under $10,000        ","4,541","8,768","3,964","13,849","3,616","20,475",319,295,501,95,"1,078",**        ,112
"$10,000 under $25,000","8,281","21,100","10,662","137,794","7,532","122,366","1,106",510,"3,080","2,628","1,034",**        ,966
"$25,000 under $50,000","3,870","11,262","5,743","131,175","3,740","123,872","1,167",569,"2,933","6,280",288,--        ,"1,569"
"$50,000 or more      ",679,"2,166","1,003","49,144",643,"38,515",379,826,665,"5,641",77,**        ,511
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90004,"24,075","49,627","17,336","982,172","19,828","690,998","7,757","38,962","14,613","150,847","5,669",14,"5,032"
"Under $10,000        ","6,008","8,696","2,384",70,"3,879","22,691","1,070","1,556","1,113",241,"2,175",--        ,225
"$10,000 under $25,000","9,015","19,340","7,605","152,371","7,886","128,359","1,889","2,705","5,089","5,107","1,705",--        ,693
"$25,000 under $50,000","5,353","12,185","4,504","184,357","4,948","163,106","2,001","3,383","4,752","13,659",817,--        ,"1,296"
"$50,000 or more      ","3,699","9,406","2,843","645,374","3,115","376,842","2,797","31,318","3,659","131,840",972,14,"2,818"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90005,"11,872","24,400","8,708","339,639","9,678","251,368","3,012","10,972","6,558","45,652","2,958",**        ,"1,655"
"Under $10,000        ","3,307","5,253","1,559","-4,379","2,142","12,701",489,737,507,155,"1,222",--        ,106
"$10,000 under $25,000","4,992","10,884","4,355","82,863","4,319","69,265",899,"1,121","2,744","2,641",976,--        ,254
"$25,000 under $50,000","2,410","5,421","1,952","82,760","2,228","73,853",806,"1,132","2,161","6,323",420,**        ,500
"$50,000 or more      ","1,163","2,842",842,"178,395",989,"95,549",818,"7,982","1,146","36,533",340,**        ,795
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90006,"17,764","39,482","16,286","329,387","14,900","281,116","3,172","4,601","8,245","17,190","3,900",**        ,"1,473"
"Under $10,000        ","5,342","8,899","2,993","27,886","3,580","20,474",525,459,742,134,"1,959",--        ,91
"$10,000 under $25,000","8,444","19,835","8,741","138,625","7,586","120,021","1,234","1,102","4,033","3,618","1,400",**        ,386
"$25,000 under $50,000","3,281","8,805","3,825","110,477","3,108","100,782",982,"1,353","2,789","6,847",422,--        ,616
"$50,000 or more      ",697,"1,943",727,"52,399",626,"39,839",431,"1,687",681,"6,591",119,**        ,380
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90007,"11,787","24,316","9,978","233,909","10,473","205,395","2,314","2,270","5,848","15,805","1,652",**        ,"2,071"
"Under $10,000        ","3,813","5,612","1,818","19,267","2,978","15,581",382,203,719,154,744,--        ,492
"$10,000 under $25,000","5,106","11,266","4,991","84,582","4,731","77,010",813,429,"2,632","2,803",601,--        ,615
"$25,000 under $50,000","2,246","5,752","2,531","76,057","2,176","72,073",701,393,"1,882","4,724",225,--        ,604
"$50,000 or more      ",622,"1,686",638,"54,003",588,"40,731",418,"1,245",615,"8,124",82,**        ,360
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90008,"12,502","25,379","8,488","461,098","10,361","352,042","4,538","11,271","8,378","48,427","2,082",**        ,"4,347"
"Under $10,000        ","2,450","4,076","1,405","11,114","1,788","10,540",403,422,377,86,550,**        ,139
"$10,000 under $25,000","3,763","7,665","2,936","64,046","3,130","51,790",805,"1,294","2,080","2,086",530,--        ,510
"$25,000 under $50,000","3,537","7,045","2,419","125,466","3,109","105,882","1,245","2,244","3,194","9,278",405,--        ,"1,367"
"$50,000 or more      ","2,752","6,593","1,728","260,472","2,334","183,830","2,085","7,311","2,727","36,977",597,**        ,"2,331"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90009,984,"1,832",621,"45,031",882,"39,423",453,915,773,"5,357",188,**        ,399
"Under $10,000        ",133,171,42,371,84,701,39,37,28,9,45,--        ,19
"$10,000 under $25,000",232,444,171,"4,225",204,"3,766",66,66,152,177,45,--        ,40
"$25,000 under $50,000",335,617,213,"12,374",322,"12,117",145,96,312,"1,020",45,**        ,139
"$50,000 or more      ",284,600,195,"28,061",272,"22,839",203,716,281,"4,151",53,**        ,201
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90010,"1,396","2,642",675,"198,032",895,"125,060",722,"14,057",978,"50,873",503,**        ,662
"Under $10,000        ",350,476,83,"-16,285",145,"3,999",121,840,69,81,129,**        ,53
"$10,000 under $25,000",283,538,162,"4,805",190,"3,302",96,281,183,200,97,--        ,59
"$25,000 under $50,000",261,475,125,"9,333",192,"6,506",109,531,236,747,97,--        ,110
"$50,000 or more      ",502,"1,153",305,"200,179",368,"111,253",396,"12,405",490,"49,845",180,**        ,440
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90011,"25,787","68,377","34,962","499,574","23,495","452,714","4,098","4,828","9,756","21,521","3,369",**        ,"3,700"
"Under $10,000        ","6,717","13,667","6,342","39,172","5,451","31,754",494,215,737,129,"1,485",--        ,131
"$10,000 under $25,000","12,983","35,097","18,410","213,877","12,105","194,366","1,642",809,"4,415","3,572","1,416",--        ,"1,220"
"$25,000 under $50,000","5,249","16,745","8,800","175,885","5,133","168,925","1,484",695,"3,785","7,725",385,--        ,"1,795"
"$50,000 or more      ",838,"2,868","1,410","70,640",806,"57,669",478,"3,109",819,"10,095",83,**        ,554
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90012,"6,704","13,504","3,912","205,562","5,628","156,640","3,313","8,797","3,883","27,597",993,**        ,"1,302"
"Under $10,000        ","1,962","3,304",849,"4,116","1,475","9,019",665,759,321,86,353,--        ,92
"$10,000 under $25,000","2,416","5,527","1,922","39,632","2,113","33,559","1,132","1,458","1,348","1,399",267,--        ,218
"$25,000 under $50,000","1,280","2,598",766,"45,558","1,147","39,192",708,"1,491","1,176","3,962",172,**        ,303
"$50,000 or more      ","1,046","2,075",375,"116,256",893,"74,870",808,"5,089","1,038","22,150",201,**        ,689
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90013,"1,714","2,625",594,"48,225","1,467","41,983",469,"15,378","1,060","8,631",341,**        ,292
"Under $10,000        ",592,788,135,"-8,330",445,"2,319",98,"14,286",102,20,126,--        ,14
"$10,000 under $25,000",607,968,256,"9,789",548,"8,728",98,156,460,498,96,--        ,41
"$25,000 under $50,000",269,411,95,"9,521",248,"8,182",99,191,252,934,57,--        ,62
"$50,000 or more      ",246,458,108,"37,245",226,"22,754",174,745,246,"7,179",62,**        ,175
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90014,975,"1,724",506,"111,543",741,"18,217",250,"7,434",582,"24,102",248,--        ,176
"Under $10,000        ",304,444,97,"-10,245",189,"1,353",45,103,45,8,118,--        ,10
"$10,000 under $25,000",374,677,240,"6,059",320,"5,005",60,69,256,282,72,--        ,21
"$25,000 under $50,000",170,303,85,"6,014",141,"4,689",59,139,156,549,31,--        ,50
"$50,000 or more      ",127,300,84,"109,715",91,"7,170",86,"7,123",125,"23,263",27,--        ,95
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90015,"4,506","10,003","4,270","99,939","3,925","84,149",902,"1,778","2,145","8,743",798,**        ,517
"Under $10,000        ","1,294","2,186",766,"4,282",944,"5,642",154,244,176,32,365,--        ,31
"$10,000 under $25,000","2,072","4,945","2,281","33,808","1,908","30,125",287,229,974,871,278,**        ,97
"$25,000 under $50,000",859,"2,207","1,012","29,481",817,"27,512",263,271,722,"1,981",103,--        ,185
"$50,000 or more      ",281,665,211,"32,368",256,"20,870",198,"1,034",273,"5,859",52,**        ,204
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90016,"17,909","39,092","15,264","501,113","15,269","415,450","5,678","8,440","10,836","40,107","2,947",**        ,"5,049"
"Under $10,000        ","3,777","6,177","2,164","19,792","2,767","16,203",541,433,616,136,971,--        ,169
"$10,000 under $25,000","6,613","14,805","6,158","112,797","5,586","92,967","1,480","1,781","3,412","3,284","1,031",--        ,944
"$25,000 under $50,000","5,168","12,153","4,980","181,286","4,765","161,918","1,999","2,027","4,474","11,878",574,--        ,"2,103"
"$50,000 or more      ","2,351","5,957","1,962","187,238","2,151","144,362","1,658","4,199","2,334","24,809",371,**        ,"1,833"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90017,"4,948","10,749","4,358","216,908","4,096","131,581","1,191","8,870","2,327","44,762",798,**        ,857
"Under $10,000        ","1,625","2,655",884,"-6,065","1,079","7,242",246,610,204,49,390,**        ,206
"$10,000 under $25,000","2,083","4,971","2,290","34,192","1,935","31,014",306,266,"1,000",931,251,--        ,69
"$25,000 under $50,000",705,"1,848",807,"23,836",648,"21,151",253,563,592,"1,577",68,--        ,149
"$50,000 or more      ",535,"1,275",377,"164,945",434,"72,174",386,"7,431",531,"42,205",89,**        ,433
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90018,"16,907","37,155","15,480","411,117","14,624","353,099","4,248","6,880","9,152","27,766","2,920",**        ,"3,777"
"Under $10,000        ","4,057","6,685","2,478","21,371","3,011","16,996",465,391,599,109,"1,131",--        ,128
"$10,000 under $25,000","6,946","15,498","6,738","116,942","6,101","100,335","1,224","1,114","3,377","3,159","1,034",--        ,844
"$25,000 under $50,000","4,351","10,881","4,762","149,972","4,085","136,932","1,523","1,450","3,638","9,145",516,--        ,"1,636"
"$50,000 or more      ","1,553","4,091","1,502","122,832","1,427","98,836","1,036","3,925","1,538","15,353",239,**        ,"1,169"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90019,"24,877","50,363","17,542","738,562","20,744","617,492","8,270","14,892","15,642","73,118","5,338",**        ,"6,338"
"Under $10,000        ","5,572","8,367","2,400","14,781","3,745","21,719","1,017","1,158",971,188,"1,789",**        ,266
"$10,000 under $25,000","8,817","18,705","7,204","149,000","7,459","121,762","1,973","2,479","4,926","4,952","1,631",**        ,958
"$25,000 under $50,000","6,693","14,557","5,357","235,461","6,102","206,304","2,602","3,091","5,979","17,763","1,074",**        ,"2,237"
"$50,000 or more      ","3,795","8,734","2,581","339,320","3,438","267,707","2,678","8,164","3,766","50,215",844,**        ,"2,877"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90020,"14,056","27,960","9,256","573,430","11,650","368,062","4,060","18,165","8,605","90,367","3,244",**        ,"2,111"
"Under $10,000        ","3,653","5,320","1,309","11,132","2,396","14,122",626,816,673,124,"1,295",**        ,96
"$10,000 under $25,000","5,443","11,042","3,886","91,899","4,744","77,417","1,107","1,300","3,306","3,343","1,043",--        ,382
"$25,000 under $50,000","3,434","7,560","2,682","118,446","3,196","105,878","1,249","1,675","3,116","9,154",557,**        ,662
"$50,000 or more      ","1,526","4,038","1,379","351,953","1,314","170,645","1,078","14,374","1,510","77,746",349,**        ,971
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90021,888,"1,663",591,"42,568",750,"24,524",228,"3,645",505,"9,816",216,**        ,174
"Under $10,000        ",279,391,99,"-4,039",197,"2,148",40,165,44,9,84,--        ,16
"$10,000 under $25,000",332,667,278,"5,350",304,"4,891",48,11,202,193,66,--        ,25
"$25,000 under $50,000",151,290,100,"5,235",136,"4,450",49,112,136,454,31,--        ,35
"$50,000 or more      ",126,315,114,"36,022",113,"13,035",91,"3,357",123,"9,160",35,**        ,98
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90022,"22,258","55,193","24,565","518,635","20,023","468,678","5,473","5,366","12,112","29,388","2,431",**        ,"3,871"
"Under $10,000        ","4,816","8,231","2,919","26,096","3,794","21,398",621,530,836,163,855,--        ,112
"$10,000 under $25,000","9,555","23,699","10,766","161,991","8,637","143,855","1,730","1,532","4,546","4,152",961,--        ,832
"$25,000 under $50,000","6,241","17,736","8,328","215,519","6,028","203,556","2,150","1,706","5,107","12,555",472,**        ,"1,907"
"$50,000 or more      ","1,646","5,527","2,552","115,029","1,564","99,869",972,"1,598","1,623","12,518",143,--        ,"1,020"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90023,"14,438","36,433","16,989","316,082","13,111","284,703","2,885","4,020","7,230","17,855","1,567",--        ,"1,896"
"Under $10,000        ","3,327","6,072","2,335","18,189","2,645","15,713",370,321,537,97,625,--        ,62
"$10,000 under $25,000","6,643","16,641","7,925","111,671","6,117","100,412",969,785,"3,024","2,712",642,--        ,465
"$25,000 under $50,000","3,712","11,212","5,566","126,514","3,624","121,241","1,120",722,"2,923","6,881",244,--        ,945
"$50,000 or more      ",756,"2,508","1,163","59,708",725,"47,337",426,"2,192",746,"8,165",56,--        ,424
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90024,"15,311","26,077","3,808","2,432,355","10,884","1,188,213","10,465","204,500","12,208","620,180","3,597",33,"8,282"
"Under $10,000        ","3,079","3,069",286,"-109,535","1,764","16,307","1,457","30,271",825,426,586,**        ,611
"$10,000 under $25,000","2,341","3,234",315,"39,711","1,685","26,236","1,185","3,761","1,800","2,101",498,**        ,550
"$25,000 under $50,000","2,904","4,408",521,"107,495","2,207","75,492","1,796","7,347","2,712","10,656",605,**        ,"1,145"
"$50,000 or more      ","6,987","15,366","2,686","2,394,684","5,228","1,070,178","6,027","163,121","6,871","606,997","1,908",*       33,"5,976"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90025,"23,363","37,587","6,280","2,092,689","18,909","1,431,998","13,935","126,380","19,105","456,149","5,632",20,"10,053"
"Under $10,000        ","3,724","4,316",451,"-79,562","2,155","17,012","1,580","24,035",859,339,"1,084",**        ,528
"$10,000 under $25,000","4,610","7,274","1,337","79,358","3,601","58,506","2,007","4,580","3,542","4,090","1,070",--        ,827
"$25,000 under $50,000","6,152","9,047","1,325","225,025","5,412","188,175","3,283","7,804","5,897","23,381","1,197",**        ,"1,875"
"$50,000 or more      ","8,877","16,950","3,167","1,867,868","7,741","1,168,305","7,065","89,961","8,807","428,339","2,281",*       20,"6,823"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90026,"27,438","54,829","19,004","781,176","23,843","662,067","9,183","15,418","17,049","76,807","5,743",14,"6,029"
"Under $10,000        ","6,443","9,633","2,688","29,188","4,658","26,989","1,212","1,102","1,166",220,"1,935",**        ,248
"$10,000 under $25,000","10,303","22,019","8,645","173,162","9,182","149,335","2,312","2,641","5,919","5,999","1,769",--        ,923
"$25,000 under $50,000","6,899","14,895","5,397","241,406","6,517","219,433","2,850","3,208","6,188","18,954","1,081",*       14,"2,070"
"$50,000 or more      ","3,793","8,282","2,274","337,420","3,486","266,310","2,809","8,467","3,776","51,634",958,**        ,"2,788"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90027,"21,619","37,563","8,657","972,900","17,936","706,710","9,326","34,389","15,616","156,125","5,751",12,"6,601"
"Under $10,000        ","4,817","6,768","1,403","2,951","3,308","19,341","1,197","3,164",980,262,"1,682",**        ,330
"$10,000 under $25,000","6,142","10,967","3,001","103,426","5,225","83,601","1,781","3,343","4,321","5,463","1,469",**        ,752
"$25,000 under $50,000","5,512","9,297","2,112","196,869","5,033","169,790","2,445","4,471","5,216","18,770","1,172",*       12,"1,602"
"$50,000 or more      ","5,148","10,531","2,141","669,654","4,370","433,978","3,903","23,411","5,099","131,630","1,428",**        ,"3,917"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90028,"12,293","19,843","5,068","300,006","10,904","258,733","3,266","6,795","8,262","30,977","2,840",**        ,"1,998"
"Under $10,000        ","3,276","4,418",898,"10,516","2,446","13,867",600,613,706,142,"1,102",**        ,100
"$10,000 under $25,000","4,698","7,965","2,340","79,356","4,345","70,983",986,"1,024","3,386","3,808",883,--        ,419
"$25,000 under $50,000","3,198","5,442","1,411","110,945","3,074","102,492","1,023","1,137","3,051","10,343",564,**        ,782
"$50,000 or more      ","1,121","2,018",419,"99,189","1,039","71,391",657,"4,021","1,119","16,684",291,**        ,697
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90029,"14,852","30,418","11,183","326,757","12,783","284,053","3,570","5,267","8,396","23,218","3,127",**        ,"2,067"
"Under $10,000        ","4,096","6,288","1,874","20,528","2,888","16,480",540,463,689,122,"1,394",--        ,97
"$10,000 under $25,000","6,259","13,220","5,234","104,482","5,654","91,949","1,078","1,140","3,592","3,503","1,091",--        ,452
"$25,000 under $50,000","3,386","8,014","3,076","115,723","3,230","106,561","1,212","1,307","3,013","8,262",449,**        ,813
"$50,000 or more      ","1,111","2,896",999,"86,024","1,011","69,063",740,"2,357","1,102","11,331",193,**        ,705
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90030,166,381,182,"4,730",146,"4,320",43,17,96,329,28,--        ,46
"Under $10,000        ",24,49,21,170,17,109,**        ,**        ,**        ,**          ,**        ,--        ,*       11
"$10,000 under $25,000",67,161,83,"1,170",56,"1,037",*       14,*        2,*       29,*         27,*       28,--        ,**        
"$25,000 under $50,000",57,126,59,"2,140",55,"2,007",19,11,49,162,**        ,--        ,24
"$50,000 or more      ",18,45,19,"1,250",18,"1,167",10,4,18,140,**        ,--        ,11
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90031,"13,224","30,267","12,349","305,587","11,924","274,411","4,165","5,017","7,262","22,115","1,694",**        ,"2,050"
"Under $10,000        ","3,470","6,034","2,101","15,900","2,792","16,636",678,445,603,109,632,--        ,69
"$10,000 under $25,000","5,368","12,849","5,495","89,216","4,921","79,019","1,394","1,255","2,717","2,572",590,**        ,383
"$25,000 under $50,000","3,227","8,225","3,545","111,647","3,114","104,441","1,279","1,369","2,786","7,581",288,**        ,853
"$50,000 or more      ","1,159","3,159","1,208","88,824","1,097","74,315",814,"1,948","1,156","11,853",184,--        ,745
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90032,"17,051","38,967","15,320","465,627","15,131","407,338","5,896","7,893","10,615","35,342","2,062",**        ,"4,052"
"Under $10,000        ","3,650","5,717","1,785","19,414","2,861","16,106",666,494,687,137,642,--        ,129
"$10,000 under $25,000","6,231","14,249","5,720","106,484","5,497","90,653","1,592","1,961","3,410","3,346",691,--        ,635
"$25,000 under $50,000","4,914","12,329","5,159","172,351","4,651","158,200","2,057","2,248","4,279","11,800",438,**        ,"1,663"
"$50,000 or more      ","2,256","6,672","2,656","167,378","2,122","142,379","1,581","3,190","2,239","20,059",291,--        ,"1,625"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90033,"13,164","32,604","15,082","269,103","11,771","238,902","2,510","3,800","6,155","14,169","1,646",--        ,"1,469"
"Under $10,000        ","3,464","6,362","2,487","18,551","2,725","15,307",359,271,476,80,741,--        ,69
"$10,000 under $25,000","6,078","15,393","7,378","101,817","5,590","91,016",891,"1,014","2,679","2,419",623,--        ,384
"$25,000 under $50,000","2,984","8,796","4,300","101,447","2,868","95,275",893,894,"2,369","5,701",213,--        ,679
"$50,000 or more      ",638,"2,053",917,"47,288",588,"37,304",367,"1,621",631,"5,969",69,--        ,337
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90034,"26,333","45,837","11,912","1,044,802","22,874","862,890","11,505","31,231","20,028","140,839","5,068",10,"7,566"
"Under $10,000        ","4,895","5,684",996,"-2,087","3,370","19,330","1,331","1,616","1,213",341,"1,171",*       10,437
"$10,000 under $25,000","7,341","12,499","3,468","126,379","6,456","107,472","2,169","3,316","5,242","5,908","1,288",**        ,900
"$25,000 under $50,000","7,924","13,996","3,850","284,840","7,413","258,307","3,389","5,013","7,436","26,641","1,190",**        ,"1,987"
"$50,000 or more      ","6,173","13,658","3,598","635,670","5,635","477,781","4,616","21,286","6,137","107,949","1,419",**        ,"4,242"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90035,"13,251","24,515","5,608","832,474","10,124","560,231","7,850","49,269","10,488","142,641","3,574",**        ,"5,911"
"Under $10,000        ","2,420","2,838",444,"-6,686","1,317","8,864","1,071","1,906",622,176,698,**        ,290
"$10,000 under $25,000","2,633","4,560",944,"45,182","1,934","30,804","1,194","3,654","1,968","2,292",719,**        ,510
"$25,000 under $50,000","3,412","5,896","1,275","123,974","2,871","96,187","1,729","6,342","3,166","11,682",759,--        ,"1,240"
"$50,000 or more      ","4,786","11,221","2,945","670,004","4,002","424,376","3,856","37,367","4,732","128,491","1,398",**        ,"3,871"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90036,"17,469","28,943","5,486","1,071,491","13,922","768,114","9,724","49,994","14,317","192,341","5,077",12,"7,209"
"Under $10,000        ","2,874","3,259",347,"-18,971","1,677","11,386","1,214","2,671",717,179,"1,052",**        ,303
"$10,000 under $25,000","3,492","5,367",810,"60,210","2,642","43,101","1,549","4,146","2,799","3,370","1,095",**        ,655
"$25,000 under $50,000","4,884","7,481","1,309","178,831","4,242","147,372","2,396","6,086","4,650","18,259","1,210",*       12,"1,633"
"$50,000 or more      ","6,219","12,836","3,020","851,421","5,361","566,255","4,565","37,091","6,151","170,533","1,720",**        ,"4,618"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90037,"16,777","40,249","18,989","323,816","14,862","288,890","2,869","2,071","7,226","13,620","2,538",**        ,"2,680"
"Under $10,000        ","4,576","8,506","3,600","25,209","3,542","20,245",352,350,562,102,"1,153",--        ,125
"$10,000 under $25,000","7,884","19,467","9,515","130,218","7,188","115,503","1,075",507,"3,150","2,687","1,002",--        ,773
"$25,000 under $50,000","3,633","10,190","4,952","122,919","3,481","113,943","1,060",720,"2,843","6,309",304,**        ,"1,295"
"$50,000 or more      ",684,"2,086",922,"45,470",651,"39,199",382,494,671,"4,522",79,**        ,487
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90038,"11,191","21,948","7,786","325,122","9,761","233,794","2,821","9,356","6,586","40,489","2,540",**        ,"1,653"
"Under $10,000        ","2,975","4,617","1,367","13,386","2,098","12,114",428,492,514,94,"1,064",**        ,87
"$10,000 under $25,000","4,570","9,437","3,697","77,091","4,184","68,092",887,829,"2,704","2,767",836,--        ,339
"$25,000 under $50,000","2,676","5,880","2,188","92,305","2,570","85,981",888,"1,230","2,405","7,311",404,--        ,594
"$50,000 or more      ",970,"2,014",534,"142,340",909,"67,607",618,"6,805",963,"30,317",236,**        ,633
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90039,"14,082","27,007","7,631","597,892","11,855","477,820","6,962","16,482","10,583","76,315","3,125",**        ,"5,252"
"Under $10,000        ","2,418","3,143",574,"5,893","1,584","9,214",734,804,531,145,715,**        ,193
"$10,000 under $25,000","3,911","7,486","2,337","67,093","3,262","53,923","1,286","1,867","2,642","2,886",779,**        ,608
"$25,000 under $50,000","3,921","7,818","2,411","141,354","3,532","120,776","1,938","3,310","3,606","11,909",659,**        ,"1,417"
"$50,000 or more      ","3,832","8,560","2,309","383,552","3,477","293,907","3,004","10,501","3,804","61,375",972,**        ,"3,034"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90040,"4,014","9,628","4,031","122,795","3,530","104,001","1,319","3,076","2,485","12,505",495,**        ,"1,011"
"Under $10,000        ",787,"1,213",364,751,596,"3,817",139,179,180,33,135,--        ,38
"$10,000 under $25,000","1,513","3,528","1,512","25,688","1,319","21,779",342,304,804,768,182,**        ,166
"$25,000 under $50,000","1,206","3,237","1,447","42,602","1,134","38,663",477,520,"1,006","2,657",120,--        ,431
"$50,000 or more      ",508,"1,650",708,"53,754",481,"39,742",361,"2,073",495,"9,047",58,**        ,376
